origin,target,horizon,model,actual,predicted,mase_scale,ae,se,smape,mase,regime,shock_window,config_hash,shocks_hash
1997-01,1997-07,6,drift,443089,167860.863636,39440.0247934,275228.136364,75750527046.2,90.0984361386,6.97839663655,clean,,f1310f570fef,3e176f06087d
1997-02,1997-03,1,drift,361928,127492.962406,39120.8114754,234435.037594,54959786851.7,95.800979362,5.99259137918,clean,,f1310f570fef,3e176f06087d
1997-02,1997-04,2,drift,473706,128280.924812,39120.8114754,345425.075188,119318482569,114.761653767,8.82970117849,clean,,f1310f570fef,3e176f06087d
1997-02,1997-05,3,drift,471650,129068.887218,39120.8114754,342581.112782,117361818835,114.057047338,8.75700426095,clean,,f1310f570fef,3e176f06087d
1997-02,1997-06,4,drift,603805,129856.849624,39120.8114754,473948.150376,224626849245,129.200707552,12.1149877137,clean,,f1310f570fef,3e176f06087d
1997-02,1997-07,5,drift,443089,130644.81203,39120.8114754,312444.18797,97621370596.2,108.916079694,7.98664895196,clean,,f1310f570fef,3e176f06087d
1997-02,1997-08,6,drift,429224,131432.774436,39120.8114754,297791.225564,88679614022.9,106.229422043,7.6120922428,clean,,f1310f570fef,3e176f06087d
1997-03,1997-04,1,drift,473706,364465.477612,38936.0731707,109240.522388,11933491731.6,26.0663898274,2.80563789546,clean,,f1310f570fef,3e176f06087d
1997-03,1997-05,2,drift,471650,367002.955224,38936.0731707,104647.044776,10951003980.4,24.9559830736,2.68766303981,clean,,f1310f570fef,3e176f06087d
1997-03,1997-06,3,drift,603805,369540.432836,38936.0731707,234264.567164,54879887428.6,48.1359565189,6.01664595546,clean,,f1310f570fef,3e176f06087d
1997-03,1997-07,4,drift,443089,372077.910448,38936.0731707,71011.0895522,5042574839.4,17.4224661581,1.82378662689,clean,,f1310f570fef,3e176f06087d
1997-03,1997-08,5,drift,429224,374615.38806,38936.0731707,54608.6119403,2982100498.05,13.5869460371,1.4025197585,clean,,f1310f570fef,3e176f06087d
1997-03,1997-09,6,drift,349899,377152.865672,38936.0731707,27253.8656716,742773194.048,7.49708981118,0.699964414802,clean,,f1310f570fef,3e176f06087d
1997-04,1997-05,1,drift,471650,477052.666667,38960.9193548,5402.66666667,29188807.1111,1.13895888701,0.138668870143,clean,,f1310f570fef,3e176f06087d
1997-04,1997-06,2,drift,603805,480399.333333,38960.9193548,123405.666667,15228958565.4,22.7642821326,3.16742183476,clean,,f1310f570fef,3e176f06087d
