date,festival_id,label,day_index,duration_days,lunar_month
2025-09-22,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2025-09-23,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2025-09-24,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2025-09-25,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2025-09-26,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2025-09-27,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2025-09-28,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2025-09-29,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2025-09-30,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2025-10-20,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2026-02-15,maha_shivaratri,Maha Shivaratri,1,1,magha
2026-03-19,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2026-03-20,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2026-03-21,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2026-03-22,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2026-03-23,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2026-03-24,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
2026-03-25,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2026-03-26,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2026-03-27,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2026-08-28,raksha_bandhan,Raksha Bandhan,1,1,shravana
2026-10-11,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2026-10-12,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2026-10-13,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2026-10-14,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2026-10-15,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2026-10-16,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2026-10-17,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2026-10-18,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2026-10-19,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2026-11-08,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2027-03-06,maha_shivaratri,Maha Shivaratri,1,1,magha
2027-04-07,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2027-04-08,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2027-04-09,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2027-04-10,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2027-04-11,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2027-04-12,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
