month,festival_days,sharad_navratri_days,is_navratri_month,lunar_drift_days
1989-01-01,0,0,0,6.0942986109294
1989-02-01,0,0,0,6.126432090066373
1989-03-01,1,0,0,6.552886791527271
1989-04-01,9,0,1,7.524322806857526
1989-05-01,0,0,0,9.052311388310045
1989-06-01,0,0,0,10.989947168156505
1989-07-01,0,0,0,13.063441504724324
1989-08-01,1,0,0,14.950292400550097
1989-09-01,1,1,1,16.378443429712206
1989-10-01,9,8,1,17.20773093122989
1989-11-01,0,0,0,17.462475433479995
1989-12-01,0,0,0,17.312549480702728
1990-01-01,0,0,0,17.024312185123563
1990-02-01,1,0,0,16.89916630042717
1990-03-01,5,0,1,17.204584883060306
1990-04-01,4,0,1,18.105326856020838
1990-05-01,0,0,0,19.614266469608992
1990-06-01,0,0,0,21.582857683300972
1990-07-01,0,0,0,23.73714375961572
1990-08-01,1,0,0,25.752203185576946
1990-09-01,9,9,1,27.342436909675598
1990-10-01,1,0,0,28.335785950068384
1990-11-01,0,0,0,28.710445544682443
1990-12-01,0,0,0,28.59426296269521
1991-01-01,0,0,0,28.238675098866224
1991-02-01,1,0,0,28.101195288822055
1991-03-01,9,0,1,28.101195288822055
1991-04-01,0,0,0,30.236742313951254
1991-05-01,0,0,0,0.8629896403290331
1991-06-01,0,0,0,2.8244794136844575
1991-07-01,0,0,0,4.984495954588056
1991-08-01,1,0,0,7.026821294333786
1991-09-01,0,0,0,8.66683940961957
1991-10-01,9,9,1,9.72100005671382
1991-11-01,1,0,0,10.147996145300567
1991-12-01,0,0,0,10.059652923140675
1992-01-01,0,0,0,9.705690250266343
1992-02-01,0,0,0,9.420262815896422
1992-03-01,1,0,0,9.524961464572698
1992-04-01,9,0,1,10.228180695790797
1992-05-01,0,0,0,11.57035625167191
1992-06-01,0,0,0,13.423160426784307
1992-07-01,0,0,0,15.529951430857182
1992-08-01,1,0,0,17.576704523991793
1992-09-01,4,4,1,19.276207495480776
1992-10-01,6,5,1,20.439889912027866
1992-11-01,0,0,0,21.01726287091151
1992-12-01,0,0,0,21.100206781178713
1993-01-01,0,0,0,20.90046105813235
1993-02-01,1,0,0,20.70359189948067
1993-03-01,8,0,1,20.79856498586014
1993-04-01,1,0,1,21.398062440101057
1993-05-01,0,0,0,22.578435277100652
1993-06-01,0,0,0,24.258532969281077
1993-07-01,0,0,0,26.220512718427926
1993-08-01,1,0,0,28.171250087209046
1993-09-01,0,0,0,29.828796158079058
1993-10-01,9,9,1,1.6515751197002828
1993-11-01,1,0,0,2.2255348819307983
1993-12-01,0,0,0,2.3404899565503
1994-01-01,0,0,0,2.217161429580301
1994-02-01,0,0,0,2.1220761155709624
1994-03-01,1,0,0,2.303635352756828
1994-04-01,9,0,1,2.942228363826871
1994-05-01,0,0,0,4.1110810548998415
1994-06-01,0,0,0,5.746968598570675
1994-07-01,0,0,0,7.650329236406833
1994-08-01,1,0,0,9.536072429269552
1994-09-01,0,0,0,11.124275681562722
1994-10-01,9,9,1,12.230414584744722
1994-11-01,1,0,0,12.817497253417969
1994-12-01,0,0,0,12.996428315993398
1995-01-01,0,0,0,12.982794574461877
1995-02-01,1,0,0,13.02883847989142
1995-03-01,0,0,0,13.357486188411713
1995-04-01,9,0,1,14.114975022617728
1995-05-01,0,0,0,15.34194488171488
1995-06-01,0,0,0,16.958801568020135
1995-07-01,0,0,0,18.7733590118587
1995-08-01,1,0,0,20.526364511810243
1995-09-01,6,6,1,21.97075802832842
1995-10-01,4,3,1,22.952228015754372
1995-11-01,0,0,0,23.455205490346998
1995-12-01,0,0,0,23.599934009369463
1996-01-01,0,0,0,23.600299678277224
1996-02-01,1,0,0,23.703435610048473
1996-03-01,9,0,1,24.128754791337997
1996-04-01,0,0,0,25.015408587642014
1996-05-01,0,0,0,26.38393299235031
1996-06-01,0,0,0,28.120865119155496
1996-07-01,0,0,0,0.38823206536471844
1996-08-01,1,0,0,2.1000884822569788
1996-09-01,0,0,0,3.448434801772237
1996-10-01,9,9,1,4.31538012297824
1996-11-01,1,0,0,4.72081558778882
1996-12-01,0,0,0,4.8010141481645405
1997-01-01,0,0,0,4.76746776746586
1997-02-01,0,0,0,4.862606970593333
1997-03-01,1,0,0,5.310285582672805
1997-04-01,9,0,1,6.2581430855207145
1997-05-01,0,0,0,7.724213880486786
1997-06-01,0,0,0,9.573269417975098
1997-07-01,0,0,0,11.544372383505106
1997-08-01,1,0,0,13.329398908186704
1997-09-01,0,0,0,14.675125516019762
1997-10-01,10,9,1,15.46453013829887
1997-11-01,0,0,0,15.74105970049277
1997-12-01,0,0,0,15.675446055829525
1998-01-01,0,0,0,15.509456324856728
1998-02-01,1,0,0,15.505055025219917
1998-03-01,4,0,1,15.897764945868403
1998-04-01,5,0,1,16.842335631139576
1998-05-01,0,0,0,18.35867233108729
1998-06-01,0,0,0,20.30712158139795
1998-07-01,0,0,0,22.415036654099822
1998-08-01,1,0,0,24.353339232038707
1998-09-01,9,9,1,25.837242835666984
1998-10-01,1,0,0,26.711963748559356
1998-11-01,0,0,0,26.99122322583571
1998-12-01,0,0,0,26.841177712660283
1999-01-01,0,0,0,26.528855384793133
1999-02-01,1,0,0,26.359033326152712
1999-03-01,9,0,1,26.60751179791987
1999-04-01,0,0,0,27.452504177112132
1999-05-01,0,0,0,30.872351901140064
1999-06-01,0,0,0,1.5821814085356891
1999-07-01,0,0,0,3.7288784040138125
1999-08-01,1,0,0,5.7159916227683425
1999-09-01,0,0,0,7.260361392516643
1999-10-01,9,9,1,8.194342814385891
1999-11-01,1,0,0,8.505562528967857
1999-12-01,0,0,0,8.338266883045435
2000-01-01,0,0,0,7.964552073739469
2000-02-01,0,0,0,7.721515826880932
2000-03-01,1,0,0,7.915696988347918
2000-04-01,9,0,1,8.731427758000791
2000-05-01,0,0,0,10.184346782043576
2000-06-01,0,0,0,12.125396579969674
2000-07-01,0,0,0,14.284011629410088
2000-08-01,1,0,0,16.340533590875566
2000-09-01,3,3,1,18.009768774732947
2000-10-01,7,6,1,19.109547877218574
2000-11-01,0,0,0,19.596614161506295
2000-12-01,0,0,0,19.57117590121925
2001-01-01,0,0,0,19.260617959778756
2001-02-01,1,0,0,18.979421206749976
2001-03-01,6,0,1,19.04955341340974
2001-04-01,3,0,1,19.69711390743032
2001-05-01,0,0,0,20.980412655044347
2001-06-01,0,0,0,22.781498659402132
2001-07-01,0,0,0,24.84890314564109
2001-08-01,1,0,0,26.872436719946563
2001-09-01,0,0,0,28.568844937253743
2001-10-01,9,9,1,29.752494822256267
2001-11-01,1,0,0,0.9023752240464091
2001-12-01,0,0,0,0.9247190468013287
2002-01-01,0,0,0,0.6775030312128365
2002-02-01,0,0,0,0.46136797359213233
2002-03-01,1,0,0,0.5677649741992354
2002-04-01,9,0,1,1.2015823647379875
2002-05-01,0,0,0,2.4291227450594306
2002-06-01,0,0,0,4.159638608805835
2002-07-01,0,0,0,6.165940590202808
2002-08-01,1,0,0,8.146301447413862
2002-09-01,0,0,0,9.81252936925739
